UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,time_index,rolling_avg_temp,rolling_avg_rot_speed,rolling_avg_torque,ema_temp,ema_rot_speed,ema_torque,lag_temp,lag_rot_speed,lag_torque,temp_torque_interaction,cumsum_temp,cumsum_rot_speed,cumsum_torque,roc_temp,roc_rot_speed,roc_torque,temp_outlier,temp_squared,rot_speed_squared,torque_squared,binned_temp,binned_rot_speed,binned_torque,failure_rate,time_since_last_failure,Type_L,Type_M
12,H29425,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,11,298.38,1628.0,33.0,298.41617526686883,1588.7006779680155,35.269761836215125,298.4,1782.0,23.9,13227.98,3578.9,18421,467.29999999999995,0.0006702412868633267,-0.20145903479236815,0.8535564853556485,False,89161.96,2024929,1962.4899999999998,1,0,2,0.0,0.0,False,False
13,M14872,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,12,298.48,1590.4,35.17999999999999,298.4774501779126,1505.4671186453438,40.54650789081008,298.6,1423.0,44.3,15258.460000000001,3877.5,19760,518.4,0.0,-0.05903021784961349,0.1534988713318286,False,89161.96,1792921,2611.21,1,0,3,0.0,0.0,False,True
14,M14873,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,13,298.54,1605.4,35.46,298.5183001186084,1584.3114124302292,37.031005260540056,298.6,1339.0,51.1,8958.0,4176.1,21502,548.4,0.0,0.30097087378640786,-0.4129158512720157,False,89161.96,3034564,900.0,1,3,0,0.0,0.0,False,True
15,L47194,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,14,298.56000000000006,1664.2,33.78,298.54553341240563,1734.5409416201528,31.22067017369337,298.6,1742.0,30.0,5852.560000000001,4474.700000000001,23537,568.0,0.0,0.16819747416762332,-0.34666666666666657,False,89161.96,4141225,384.1600000000001,1,3,0,0.0,0.0,True,False
16,L47195,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,15,298.6,1616.2,38.67999999999999,298.5636889416038,1670.3606277467686,36.94711344912892,298.6,2035.0,19.6,14452.24,4773.300000000001,25079,616.4,0.0,-0.2422604422604423,1.4693877551020407,False,89161.96,2377764,2342.56,1,2,3,0.0,0.0,True,False
17,M14876,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,16,298.6,1593.8,39.14,298.5757926277359,1550.5737518311792,40.16474229941928,298.6,1542.0,48.4,13914.760000000002,5071.9000000000015,26390,663.0,0.0,-0.14980544747081714,-0.037190082644628086,False,89161.96,1718721,2171.56,1,0,2,0.0,0.0,False,True
18,M14877,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,17,298.62,1608.0,38.040000000000006,298.6171950851573,1503.7158345541195,41.97649486627952,298.6,1311.0,46.6,13620.72,5370.600000000001,27800,708.6,0.00033489618218340844,0.07551487414187652,-0.02145922746781115,False,89221.68999999999,1988100,2079.36,1,0,2,0.0,0.0,False,True
19,H29432,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,18,298.66,1520.8,42.94,298.6781300567715,1437.810556369413,46.150996577519685,298.7,1410.0,45.6,16284.6,5669.4000000000015,29106,763.1,0.00033478406427867036,-0.07375886524822695,0.19517543859649122,False,89281.44,1705636,2970.25,1,0,3,0.0,0.0,False,False
20,M14879,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,19,298.72,1440.2,45.519999999999996,298.75208670451434,1502.540370912942,41.600664385013125,298.8,1306.0,54.5,9714.25,5968.300000000001,30738,795.6,0.0003346720214187915,0.24961715160796327,-0.4036697247706422,False,89341.20999999999,2663424,1056.25,1,3,0,0.0,0.0,False,True
21,H29434,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,20,298.78000000000003,1406.8,44.379999999999995,298.8013911363429,1460.0269139419615,41.967109590008754,298.9,1632.0,32.5,12763.03,6267.200000000001,32113,838.3000000000001,0.0,-0.15747549019607843,0.3138461538461539,False,89341.20999999999,1890625,1823.2900000000002,1,0,2,0.0,0.0,False,False
22,L47201,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,21,298.82000000000005,1434.6,44.019999999999996,298.8009274242286,1456.6846092946412,42.91140639333917,298.9,1375.0,42.7,13386.24,6566.000000000001,33563,883.1,-0.0003345600535294979,0.05454545454545445,0.04918032786885229,False,89281.44,2102500,2007.0399999999997,1,1,2,0.0,0.0,True,False
23,M14882,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,22,298.86,1468.8,41.04,298.8339516161524,1498.1230728630942,38.84093759555945,298.8,1450.0,44.8,9176.23,6864.900000000001,35144,913.8000000000001,0.0003346720214187915,0.09034482758620688,-0.3147321428571428,False,89341.20999999999,2499561,942.49,1,2,0,0.0,0.0,False,True
24,L47203,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,23,298.9,1559.2,35.28,298.88930107743494,1584.7487152420629,34.4606250637063,298.9,1581.0,30.7,7684.3,7163.900000000001,36902,939.5000000000001,0.00033456005352960894,0.11195445920303615,-0.1628664495114006,False,89401.0,3090564,660.49,1,3,0,0.0,0.0,True,False
25,M14884,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,24,298.91999999999996,1545.0,36.239999999999995,298.92620071829,1576.832476828042,35.407083375804206,299.0,1758.0,25.7,11152.699999999999,7462.900000000001,38463,976.8000000000001,0.0,-0.1120591581342435,0.4513618677042801,False,89401.0,2436721,1391.2899999999997,1,2,1,0.0,0.0,False,True
26,L47205,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,25,298.93999999999994,1642.2,32.36,298.95080047886,1671.5549845520281,31.371388917202804,299.0,1561.0,37.3,6966.7,7761.900000000001,40324,1000.1,0.0,0.19218449711723262,-0.37533512064343155,False,89401.0,3463321,542.89,1,3,0,0.0,0.0,True,False
27,L47206,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,26,299.0,1654.6,31.2,299.0005336525734,1618.3699897013523,33.914259278135205,299.0,1861.0,23.3,11664.900000000001,8061.000000000001,41836,1039.1,0.00033444816053518345,-0.18753358409457277,0.6738197424892702,False,89460.81000000001,2286144,1521.0,1,2,1,0.0,0.0,True,False
28,H29441,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,27,299.04,1700.6,29.98,299.0336891017156,1682.5799931342349,30.809506185423473,299.1,1512.0,39.0,7357.860000000001,8360.1,43647,1063.6999999999998,0.0,0.1977513227513228,-0.36923076923076914,False,89460.81000000001,3279721,605.1600000000001,1,3,0,0.0,0.0,False,False
29,L47208,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,28,299.06000000000006,1636.8,33.68,299.0557927344771,1601.38666208949,35.27300412361565,299.1,1811.0,24.6,13220.220000000001,8659.2,45086,1107.8999999999999,0.0,-0.2054113749309774,0.7967479674796749,False,89460.81000000001,2070721,1953.6400000000003,1,1,2,0.0,0.0,True,False
30,L47209,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,29,299.06000000000006,1663.2,32.239999999999995,299.0371951563181,1631.9244413929935,33.54866941574377,299.1,1439.0,44.2,8999.9,8958.2,46779,1137.9999999999998,-0.00033433634236046395,0.17651146629603898,-0.3190045248868778,False,89401.0,2866249,906.0100000000001,1,3,0,0.0,0.0,True,False
31,M14890,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,30,299.08000000000004,1558.8,37.220000000000006,299.05813010421207,1534.2829609286623,38.43244627716251,299.0,1693.0,30.1,14416.620000000003,9257.300000000001,48118,1186.1999999999998,0.00033444816053518345,-0.20909627879503845,0.6013289036544851,False,89460.81000000001,1792921,2323.2400000000002,1,0,3,0.0,0.0,False,True
32,L47211,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,31,299.06,1616.0,34.52,299.0387534028081,1622.1886406191084,34.12163085144168,299.1,1339.0,48.2,7624.5,9556.300000000001,49916,1211.6999999999998,-0.00033433634236046395,0.3427931292008961,-0.470954356846473,False,89401.0,3232804,650.25,1,3,0,0.0,0.0,True,False
33,L47212,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,32,299.04,1537.6,39.260000000000005,299.0258356018721,1554.4590937460723,38.84775390096112,299.0,1798.0,25.5,14441.699999999999,9855.300000000001,51335,1259.9999999999998,0.0,-0.210789766407119,0.8941176470588235,False,89401.0,2013561,2332.89,1,0,3,0.0,0.0,True,False
34,L47213,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,33,299.0,1582.8,36.92,298.98389040124806,1591.3060624973816,36.73183593397408,299.0,1419.0,48.3,9714.25,10154.2,53000,1292.4999999999998,-0.00033444816053518345,0.17336152219873147,-0.32712215320910965,False,89341.20999999999,2772225,1056.25,1,3,0,0.0,0.0,True,False
35,M14894,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,34,298.96,1556.0,37.839999999999996,298.92259360083204,1580.5373749982546,36.05455728931606,298.9,1665.0,32.5,10368.36,10453.0,54559,1327.1999999999998,-0.0003345600535294979,-0.06366366366366372,0.06769230769230772,False,89281.44,2430481,1204.0900000000001,1,2,1,0.0,0.0,False,True
36,M14895,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,35,298.9,1578.6,37.92,298.8817290672214,1537.6915833321698,40.236371526210704,298.8,1559.0,34.7,14521.68,10751.8,56011,1375.7999999999997,0.0,-0.06863373957665175,0.4005763688760806,False,89281.44,2108304,2361.96,1,1,3,0.0,0.0,False,True
37,M14896,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,36,298.88,1535.2,40.160000000000004,298.8878193781476,1552.1277222214467,39.05758101747381,298.8,1452.0,48.6,10969.63,11050.699999999999,57592,1412.4999999999998,0.0003346720214187915,0.08884297520661155,-0.24485596707818924,False,89341.20999999999,2499561,1346.89,1,2,1,0.0,0.0,False,True
38,L47217,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,37,298.84000000000003,1539.2,38.339999999999996,298.8585462520984,1514.4184814809646,39.10505401164921,298.9,1581.0,36.7,11712.960000000001,11349.499999999998,59031,1451.6999999999998,-0.0003345600535294979,-0.08981657179000635,0.0681198910081744,False,89281.44,2070721,1536.6400000000003,1,1,1,0.0,0.0,True,False
39,H29452,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,38,298.84,1482.0,41.980000000000004,298.8723641680656,1469.2789876539764,42.97003600776614,298.8,1439.0,39.2,15154.23,11648.399999999998,60410,1502.3999999999999,0.0003346720214187915,-0.04169562195969423,0.2933673469387754,False,89341.20999999999,1901641,2570.4900000000002,1,0,3,0.0,0.0,False,False
40,L47219,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,39,298.84000000000003,1440.2,45.540000000000006,298.8482427787104,1429.519325102651,46.1466906718441,298.9,1379.0,50.7,15687.0,11947.199999999997,61760,1554.8999999999999,-0.0003345600535294979,-0.021029731689630182,0.035502958579881616,False,89281.44,1822500,2756.25,1,0,3,0.0,0.0,True,False
41,L47220,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,40,298.84000000000003,1422.2,44.9,298.83216185247363,1407.0128834017673,45.8977937812294,298.8,1350.0,52.5,13565.52,12245.999999999996,63122,1600.3,0.0,0.008888888888888946,-0.13523809523809527,False,89281.44,1855044,2061.16,1,0,2,0.0,0.0,True,False
42,L47221,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,41,298.82,1379.6,47.72,298.82144123498244,1394.0085889345116,47.5318625208196,298.8,1362.0,45.4,15179.039999999999,12544.799999999996,64490,1651.1,0.0,0.004405286343612369,0.11894273127753308,False,89281.44,1871424,2580.64,1,0,3,0.0,0.0,True,False
43,M14902,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,42,298.82,1365.4,49.7,298.81429415665497,1385.3390592896744,48.05457501387974,298.8,1368.0,50.8,14671.080000000002,12843.599999999995,65858,1700.1999999999998,0.0,0.0,-0.0334645669291338,False,89281.44,1871424,2410.81,1,0,3,0.0,0.0,False,True
44,H29457,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,43,298.8,1364.0,49.26,298.80952943777,1380.8927061931163,48.20305000925316,298.8,1368.0,49.1,14491.800000000001,13142.399999999994,67230,1748.6999999999998,0.0,0.0029239766081872176,-0.012219959266802527,False,89281.44,1882384,2352.25,1,0,3,0.0,0.0,False,False
45,M14904,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,44,298.8,1388.4,48.26,298.80635295851334,1411.2618041287442,47.968700006168774,298.8,1372.0,48.5,14193.0,13441.199999999993,68702,1796.1999999999998,0.0,0.07288629737609331,-0.020618556701030966,False,89281.44,2166784,2256.25,1,1,3,0.0,0.0,False,True
46,L47225,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,45,298.8,1413.8,49.0,298.80423530567555,1437.1745360858295,48.34580000411252,298.8,1472.0,47.5,14671.080000000002,13739.999999999993,70191,1845.2999999999997,0.0,0.01154891304347827,0.03368421052631576,False,89281.44,2217121,2410.81,1,1,3,0.0,0.0,True,False
47,M14906,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,46,298.78000000000003,1508.8,44.0,298.7694902037837,1572.4496907238863,40.83053333607502,298.8,1489.0,49.1,7706.46,14038.699999999993,72034,1871.0999999999997,-0.00033467202141912455,0.2377434519811954,-0.4745417515274949,False,89221.68999999999,3396649,665.64,1,3,0,0.0,0.0,False,True
48,L47227,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,47,298.78,1518.8,43.44,298.7796601358558,1520.9664604825912,42.65368889071668,298.7,1843.0,25.8,13834.44,14337.499999999993,73452,1917.3999999999996,0.00033478406427867036,-0.23060227889310903,0.7945736434108526,False,89281.44,2010724,2143.6899999999996,1,0,2,0.0,0.0,True,False
49,H29462,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,48,298.78000000000003,1529.4,44.519999999999996,298.7864400905705,1488.9776403217274,46.402459260477784,298.8,1418.0,46.3,16105.32,14636.299999999992,74877,1971.2999999999997,0.0,0.0049365303244006675,0.16414686825054003,False,89281.44,2030625,2905.21,1,1,3,0.0,0.0,False,False
50,M14909,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,49,298.8,1517.4,43.839999999999996,298.8242933937137,1463.3184268811517,45.634972840318525,298.8,1425.0,53.9,13181.49,14935.199999999992,76289,2015.3999999999996,0.0003346720214187915,-0.009122807017543866,-0.18181818181818177,False,89341.20999999999,1993744,1944.8100000000002,1,0,2,0.0,0.0,False,True
51,L47230,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,50,298.82,1791.8,34.94,298.8495289291425,1929.2122845874346,31.95664856021235,298.9,1412.0,44.1,1374.9399999999998,15234.099999999991,79150,2019.9999999999995,0.0,1.0262039660056659,-0.8956916099773242,False,89341.20999999999,8185321,21.159999999999997,1,3,0,0.0,0.0,True,False
52,L47231,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,51,298.86,1699.8,40.760000000000005,298.8663526194283,1747.14152305829,39.6044323734749,298.9,2861.0,4.6,16409.609999999997,15532.99999999999,80533,2074.8999999999996,0.0,-0.5166025865082139,10.934782608695652,False,89341.20999999999,1912689,3014.0099999999998,1,0,3,0.1,1.0,True,False
53,H29466,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,52,298.86,1715.6,40.26,298.8442350796189,1663.7610153721935,41.00295491564994,298.9,1383.0,54.9,13087.44,15831.79999999999,82030,2118.7,-0.0003345600535294979,0.08242950108459879,-0.20218579234972678,False,89281.44,2241009,1918.4399999999998,1,1,2,0.1,1.0,False,False
54,L47233,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,53,298.84000000000003,1743.6,36.5,298.7961567197459,1630.840676914796,39.035303277099956,298.8,1497.0,43.8,10484.37,16130.49999999999,83595,2153.7999999999997,-0.00033467202141912455,0.045424181696726684,-0.19863013698630128,False,89221.68999999999,2449225,1232.01,1,2,1,0.1,1.0,True,False
55,L47234,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,54,298.8,1799.4,33.7,298.7641044798306,1650.8937846098643,36.056868851399976,298.7,1565.0,35.1,8990.87,16429.19999999999,85286,2183.8999999999996,0.0,0.08051118210862618,-0.14245014245014243,False,89221.68999999999,2859481,906.0100000000001,1,3,0,0.1,1.0,True,False
56,L47235,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,55,298.78,1529.6,40.92,298.7760696532204,1604.5958564065763,37.60457923426665,298.7,1691.0,30.1,12161.160000000002,16727.99999999999,86798,2224.5999999999995,0.00033478406427867036,-0.10585452395032524,0.3521594684385383,False,89281.44,2286144,1656.4900000000002,1,2,2,0.1,1.0,True,False
57,L47236,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,56,298.76,1548.4,38.42,298.78404643548026,1562.063904271051,39.20305282284444,298.8,1512.0,40.7,12669.12,17026.79999999999,88275,2266.9999999999995,0.0,-0.02314814814814814,0.041769041769041726,False,89281.44,2181529,1797.76,1,1,2,0.1,1.0,True,False
58,L47237,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,57,298.76000000000005,1551.6,37.72,298.7893642903202,1545.709269514034,39.568701881896295,298.8,1477.0,42.4,12041.64,17325.599999999988,89788,2307.2999999999997,0.0,0.02437373053486791,-0.04952830188679247,False,89281.44,2289169,1624.0899999999997,1,2,2,0.1,1.0,True,False
59,M14918,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,58,298.78000000000003,1570.8,36.6,298.7929095268801,1584.139513009356,36.2124679212642,298.8,1513.0,40.3,8814.6,17624.399999999987,91449,2336.7999999999997,0.0,0.09781890284203576,-0.2679900744416873,False,89281.44,2758921,870.25,1,3,0,0.1,1.0,False,True
60,L47239,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,59,298.8,1508.2,41.459999999999994,298.79527301792007,1515.4263420062375,42.274978614176135,298.8,1661.0,29.5,16254.72,17923.199999999986,92827,2391.2,0.0,-0.1703792895845876,0.8440677966101695,False,89281.44,1898884,2959.3599999999997,1,0,3,0.1,1.0,True,False
61,L47240,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,60,298.8,1484.4,43.839999999999996,298.7968486786134,1474.6175613374917,45.71665240945076,298.8,1378.0,54.4,15716.880000000001,18221.999999999985,94220,2443.7999999999997,0.0,0.010885341074020394,-0.03308823529411764,False,89281.44,1940449,2766.76,1,0,3,0.1,1.0,True,False
62,M14921,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,61,298.8,1507.4,43.0,298.7978991190756,1513.7450408916611,43.21110160630051,298.8,1393.0,52.6,11414.160000000002,18520.799999999985,95812,2481.9999999999995,0.0,0.1428571428571428,-0.2737642585551331,False,89281.44,2534464,1459.2400000000002,1,2,1,0.0,1.0,False,True
63,L47242,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,62,298.8,1570.6,39.52,298.79859941271707,1618.8300272611075,36.44073440420034,298.8,1592.0,38.2,6842.5199999999995,18819.599999999984,97641,2504.8999999999996,0.0,0.14886934673366836,-0.40052356020942415,False,89281.44,3345241,524.41,1,3,0,0.0,1.0,True,False
64,M14923,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,63,298.82,1600.8,38.8,298.83239960847806,1683.2200181740718,32.92715626946689,298.8,1829.0,22.9,7741.509999999999,19118.499999999985,99453,2530.7999999999997,0.0003346720214187915,-0.009294696555494752,0.13100436681222716,False,89341.20999999999,3283344,670.81,1,3,0,0.0,1.0,False,True
65,L47244,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,64,298.86,1629.8,35.64,298.8882664056521,1629.8133454493814,34.81810417964459,298.9,1812.0,25.9,11541.4,19417.499999999985,100976,2569.3999999999996,0.00033456005352960894,-0.1594922737306843,0.4903474903474905,False,89401.0,2319529,1489.96,1,2,1,0.0,1.0,True,False
66,L47245,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,65,298.9,1630.0,34.14,298.9255109371014,1551.2088969662545,38.24540278642973,299.0,1523.0,38.6,13484.9,19716.499999999985,102370,2614.4999999999995,0.0,-0.08470124753775443,0.16839378238341962,False,89401.0,1943236,2034.0100000000002,1,0,2,0.0,1.0,True,False
67,M14926,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,66,298.91999999999996,1647.4,32.239999999999995,298.917007291401,1593.8059313108365,35.06360185761982,299.0,1394.0,45.1,8578.429999999998,20015.399999999987,104049,2643.1999999999994,-0.00033444816053518345,0.20444763271162114,-0.36363636363636365,False,89341.20999999999,2819041,823.6899999999999,1,3,0,0.0,1.0,False,True
68,H29481,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,67,298.91999999999996,1574.8,36.480000000000004,298.87800486093397,1551.2039542072243,38.07573457174655,298.9,1679.0,28.7,13177.080000000002,20314.199999999986,105515,2687.2999999999993,-0.0003345600535294979,-0.12686122692078616,0.5365853658536586,False,89281.44,2149156,1944.8100000000002,1,1,2,0.0,1.0,False,False
69,L47248,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,68,298.9,1517.8,37.78,298.85200324062265,1543.1359694714831,36.183823047831034,298.8,1466.0,44.1,9681.12,20612.999999999985,107042,2719.6999999999994,0.0,0.04160982264665747,-0.26530612244897966,False,89281.44,2331729,1049.76,1,2,0,0.0,1.0,True,False
70,L47249,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,69,298.88,1495.2,43.2,298.86800216041513,1498.757312980989,46.02254869855402,298.8,1527.0,32.4,19637.73,20911.899999999987,108452,2785.399999999999,0.0003346720214187915,-0.0766208251473477,1.0277777777777781,False,89341.20999999999,1988100,4316.490000000001,1,0,3,0.0,1.0,True,False
71,M14930,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,70,298.86,1601.2,38.7,298.87866810694345,1640.5048753206593,38.215032465702684,298.9,1410.0,65.7,6755.14,21210.79999999999,110376,2807.999999999999,0.0,0.36453900709219855,-0.6560121765601218,False,89341.20999999999,3701776,510.76000000000005,1,3,0,0.1,2.0,False,True
72,L47251,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,71,298.86,1555.8,42.06,298.8857787379623,1577.6699168804396,40.643354977135125,298.9,1924.0,22.6,13599.949999999999,21509.69999999999,111828,2853.499999999999,0.0,-0.24532224532224534,1.0132743362831858,False,89341.20999999999,2108304,2070.25,1,1,2,0.1,2.0,True,False
73,L47252,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,72,298.88,1536.4,42.12,298.89051915864155,1508.113277920293,41.895569984756754,298.9,1452.0,45.5,13271.159999999998,21808.59999999999,113197,2897.899999999999,0.0,-0.05716253443526176,-0.0241758241758242,False,89341.20999999999,1874161,1971.36,1,0,2,0.1,2.0,True,False
74,L47253,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,73,298.91999999999996,1549.4,42.64,298.9270127724277,1536.0755186135289,39.5970466565045,298.9,1369.0,44.4,10465.0,22107.59999999999,114789,2932.899999999999,0.00033456005352960894,0.1628926223520819,-0.21171171171171166,False,89401.0,2534464,1225.0,1,2,1,0.1,2.0,True,False
75,L47254,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,74,298.91999999999996,1587.6,35.96,298.9180085149518,1557.7170124090194,37.164697771003006,299.0,1592.0,35.0,9654.469999999998,22406.499999999993,116390,2965.1999999999994,-0.00033444816053518345,0.005653266331658191,-0.07714285714285718,False,89341.20999999999,2563201,1043.2899999999997,1,2,0,0.1,2.0,True,False
76,L47255,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,75,298.9,1478.6,40.78,298.8786723433012,1498.1446749393463,40.34313184733534,298.9,1601.0,32.3,13953.960000000001,22705.299999999992,117769,3011.899999999999,-0.0003345600535294979,-0.13866333541536535,0.44582043343653277,False,89281.44,1901641,2180.8900000000003,1,0,2,0.1,2.0,True,False
